,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
CD177,466.805.187.441.553,-523.784.872.903.683,13.097.879.523.809,-399.900.512.103.171,"6,36E+09",158.398.277.585.514,FALSE
SEPT4,246.681.441.581.893,-489.156.137.729.316,518.436.592.796.317,-943.521.627.381.528,"3,90E-07","2,23E-03",FALSE
TXNDC5,674.473.747.416.158,-455.987.012.621.085,159.477.117.378.438,-285.926.294.704.106,42.462.664.954.393,335.713.860.562.995,FALSE
OTOF,114.065.552.198.301,-45.399.579.327.889,137.426.595.282.996,-330.355.119.650.602,954.685.356.374.908,118.737.039.143.466,FALSE
C1QC,167.749.050.775.818,-442.827.074.847.123,789.967.639.126.057,-560.563.563.511.315,"2,07E+06","3,16E+08",FALSE
IDO1,38.989.078.060.527,-431.119.926.530.684,814.330.752.302.699,-52.941.624.187.911,"1,20E+07","1,18E+09",FALSE
TCN2,271.363.686.229.974,-41.789.582.576.538,778.789.435.071.904,-536.596.680.624.971,"8,05E+06","8,66E+08",FALSE
MT2A,277.746.395.656.469,-411.484.064.412.577,781.210.595.883.304,-526.726.169.077.773,"1,38E+07","1,32E+09",FALSE
SPATS2L,111.484.500.781.848,-406.565.644.771.342,6.511.995.466.401,-624.333.427.240.605,"4,28E+04","1,48E+07",FALSE
RUFY4,170.490.685.077.003,-399.475.891.603.977,815.086.399.118.108,-490.102.511.876.281,"9,53E+07","6,14E+09",FALSE
PFKFB2,663.502.831.548.815,-393.994.140.942.521,778.506.060.664.258,-506.090.011.176.466,"4,17E+07","3,24E+09",FALSE
CXCL10,272.402.488.982.875,-390.849.661.190.913,804.377.392.433.951,-485.903.339.486.268,"1,18E+08","7,35E+09",FALSE
LAMP3,525.011.750.259.469,-388.559.271.303.084,618.608.527.119.858,-628.118.194.736.425,"3,36E+04","1,28E+07",FALSE
SMTNL1,287.179.395.436.716,-385.289.171.262.008,653.305.035.056.306,-589.753.867.776.025,"3,69E+05","8,67E+07",FALSE
USP18,490.414.370.421.588,-384.682.959.825.547,100.897.811.626.295,-38.125.996.354.642,137.512.766.409.346,291.511.728.791.559,FALSE
TMEM255A,321.265.418.491.054,-383.693.367.787.418,75.404.199.927.182,-508.848.801.735.117,"3,61E+07","2,88E+09",FALSE
CXCL8,458.904.163.597.726,372.145.591.534.938,110.675.127.780.655,336.250.428.617.066,772.389.270.166.596,101.839.302.037.573,FALSE
KIAA0895L,19.021.611.873.976,-359.249.736.345.502,557.964.293.318.784,-64.385.793.257.249,"1,21E+04","6,40E+06",FALSE
IL18R1,839.740.457.353.866,-3.590.928.166.017,506.408.741.276.701,-709.096.797.374.381,"1,33E+02","2,17E+05",FALSE
SERPING1,13888603.44.00,-358.908.780.784.438,557.752.985.696.503,-643.490.559.420.753,"1,24E+04","6,40E+06",FALSE
SOCS1,32.758.896.497.546,-356.182.619.462.392,632.703.721.180.995,-562.953.255.273.333,"1,81E+06","2,88E+08",FALSE
KCNE1,278.097.657.578.591,-352.834.013.484.512,698.026.725.395.478,-505.473.502.156.537,"4,31E+07","3,29E+09",FALSE
SEMA6B,353.814.010.426.823,-347.955.491.227.478,791.706.167.720.692,-439.500.796.399.295,"1,11E+08",408.780.088.924.537,FALSE
SIGLEC1,278.621.505.810.859,-347.728.541.699.593,102.790.815.773.817,-338.287.559.138.302,717.311.185.188.499,969.304.984.250.572,FALSE
MYO10,350.062.815.688.624,-347.585.645.381.349,638.612.302.959.338,-544.282.726.422.013,"5,24E+06","6,36E+08",FALSE
GPR84,107.321.407.775.194,-345.116.094.977.606,816.854.975.005.907,-42.249.371.741.307,"2,39E+09",748.868.112.720.912,FALSE
ACTA2,109.292.257.197.456,-344.043.611.678.399,101.924.492.139.255,-33.754.753.588.406,736.882.905.410.375,981.154.840.795.418,FALSE
C1QB,234.719.246.490.744,-338.723.954.874.575,729.525.569.875.076,-464.307.172.855.611,"3,43E+08",166.594.102.422.866,FALSE
MCEMP1,152.471.536.782.883,-336.050.249.386.453,752.466.766.582.626,-446.598.128.064.375,"7,97E+08",32.349.036.125.073,FALSE
MDK,731.629.879.011.048,-332.392.425.598.499,668.539.400.677.725,-497.191.975.912.773,"6,63E+07","4,61E+09",FALSE
IFNGR2,1.434.790.075.718,-33.221.721.762.449,668.521.077.043.662,-49.694.352.060.465,"6,71E+07","4,64E+09",FALSE
