,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
MUC13,119.386.946.334.315,778.439.853.844.395,109.420.899.368.326,711.417.890.310.018,"1,13E+02","2,56E+05",FALSE
SRCIN1,951.780.714.669.714,-693.815.554.864.275,138.067.145.694.154,-502.520.387.001.563,"5,03E+07",125.111.380.794.164,FALSE
LYZ,122.219.570.945.017,582.961.441.955.181,119.877.939.815.366,486.295.846.302.538,"1,16E+08",250.025.344.730.565,FALSE
CDH17,135.599.184.215.927,531.169.495.638.247,915.534.008.461.137,580.174.510.973.171,"6,56E+05","4,41E+08",FALSE
MEG3,246.967.321.177.555,-510.125.556.043.806,123.234.057.928.745,-413.948.517.656.348,"3,48E+09",376.285.207.781.103,FALSE
MYO7B,829.837.384.514.489,500.712.905.714.525,133.171.057.475.643,375.992.287.818.325,169.965.745.916.352,117.814.805.785.758,FALSE
KRT15,15.537.705.583.004,476.206.181.117.536,120.383.122.744.452,395.575.534.394.817,"7,63E+09",666.515.615.027.517,FALSE
AGR2,608.951.079.710.576,45.201.302.328.108,927.501.799.767.331,487.344.631.993.674,"1,10E+08",242.888.041.674.286,FALSE
S100A14,317.488.983.989.871,424.889.497.627.729,785.113.699.144.151,541.182.121.889.988,"6,24E+06","2,58E+09",FALSE
LOC102724238,636.486.186.933.944,418.868.584.231.102,482.667.180.379.538,867.820.728.771.595,"4,02E-04","3,65E+00",FALSE
FXYD3,297.240.861.560.385,413.434.137.125.856,887.939.445.681.278,465.610.734.084.063,"3,22E+08",609.611.748.319.505,FALSE
OGN,183.654.981.680.262,410.981.005.919.037,615.087.938.213.618,668.166.257.840.525,"2,36E+02","3,90E+06",FALSE
C6orf222,743.790.272.791.473,410.231.581.702.386,104.701.220.507.879,391.811.651.967.815,"8,92E+09",743.268.179.849.234,FALSE
HBG2,389.432.328.221.371,408.408.383.568.283,720.782.176.853.624,56.661.831.643.934,"1,46E+06","8,45E+08",FALSE
PLA2G2A,147.154.666.731.964,40.600.983.883.296,512.174.549.093.507,792.717.716.160.542,"2,24E-01","8,14E+02",FALSE
GATA4,667.650.027.848.833,404.066.314.013.194,616.301.288.773.902,655.631.135.896.311,"5,52E+03","7,26E+06",FALSE
OLR1,117.588.036.148.512,390.854.206.652.535,588.439.964.821.748,664.221.042.109.085,"3,09E+03","4,68E+06",FALSE
MYBPC1,175.901.766.752.599,385.430.013.532.398,104.573.221.468.355,368.574.294.757.702,228.036.428.172.689,144.803.131.889.658,FALSE
LRRN4,901.799.330.187.314,379.616.056.903.133,799.424.174.059.307,474.861.868.356.474,"2,05E+08",413.100.374.298.729,FALSE
CYP24A1,218.582.669.758.884,379.378.755.047.931,77.237.692.188.911,49.118.344.204.282,"9,02E+07",202.300.613.545.926,FALSE
TAP1,942.480.144.965.508,374.815.967.526.668,967.544.180.998.348,387.388.994.619.263,107.111.798.064.455,83.847.300.200.369,FALSE
SFTPD,509.245.040.133.929,370.813.116.046.251,662.168.653.845.153,55.999.799.128.662,"2,14E+06","1,15E+09",FALSE
C7,102.912.411.985.869,370.137.544.714.518,788.520.416.239.294,469.407.686.968.744,"2,68E+08",51.742.103.561.014,FALSE
LAMC2,135.672.292.415.992,369.765.944.705.351,720.734.735.930.445,513.040.271.644.456,"2,89E+07","8,41E+09",FALSE
ASPN,545.983.650.809.278,366.135.547.864.616,674.893.863.397.612,542.508.337.564.936,"5,79E+06","2,45E+09",FALSE
ROR1-AS1,644.961.164.422.963,361.879.564.752.894,107.006.778.238.324,338.183.777.430.363,720.026.520.841.971,320.500.040.318.898,FALSE
VOPP1,425.628.542.073.231,354.592.307.000.142,664.390.032.763.085,533.711.057.532.656,"9,44E+06","3,57E+09",FALSE
ARHGAP8,806.405.438.787.295,35.438.297.337.242,563.705.742.832.887,62.866.660.110.908,"3,24E+03","3,47E+07",FALSE
HAND2,19.733.417.727.859,3.494.989.679.128,719.278.197.440.786,485.902.352.047.272,"1,18E+08",252.045.024.993.176,FALSE
GATA6,150.109.840.871.621,341.418.426.260.475,540.726.763.395.657,631.406.561.266.608,"2,72E+04","3,09E+07",FALSE
MYH8,27.389.895.985.722,339.813.988.584.583,669.119.834.162.941,507.852.213.063.876,"3,80E+07",103.106.266.539.405,FALSE
SPRR2F,161.356.868.890.164,338.800.782.733.249,741.428.223.621.583,456.956.954.077.553,"4,89E+08",84.531.150.017.631,FALSE
SULT1E1,442.804.261.658.655,335.343.902.217.029,787.115.291.226.714,426.041.656.101.481,"2,04E+09",264.691.708.072.706,FALSE
DUOX2,70.362.166.579.527,332.989.044.912.678,975.222.592.493.512,341.449.272.684.783,639.008.995.843.568,298.726.654.974.119,FALSE
LAMB3,854.637.349.307.645,332.521.082.883.639,744.550.840.093.925,446.606.282.576.609,"7,97E+08",129.189.930.827.162,FALSE
FMOD,317.404.803.168.474,33.248.658.377.556,546.234.549.558.318,608.688.308.061.814,"1,15E+05","1,05E+08",FALSE
AOC1,83.129.224.285.365,322.419.127.986.473,902.164.171.508.873,357.384.097.228.364,351.782.631.190.555,20.098.852.747.479,FALSE
C9orf64,139.099.456.422.877,-322.370.358.843.886,960.778.807.904.062,-335.530.255.446.763,79.278.226.730.489,343.620.972.709.406,FALSE
TRIM29,280.424.558.618.712,32.221.502.612.641,902.241.680.437.443,357.127.179.017.254,355.252.008.806.825,20.098.852.747.479,FALSE
ACTA1,425.764.308.110.338,319.073.396.137.794,520.980.204.590.847,612.448.214.588.843,"9,10E+04","8,70E+07",FALSE
IGFL2,12.325.323.409.753,318.319.414.263.739,562.119.159.195.827,566.284.584.071.339,"1,49E+06","8,45E+08",FALSE
ADRB3,487.829.399.226.143,314.948.612.879.904,764.731.559.656.415,411.842.049.544.034,"3,81E+09",39.363.775.111.815,FALSE
RPL17-C18orf32,302.973.674.812.912,-313.145.174.699.822,621.818.747.854.145,-503.595.582.765.017,"4,75E+07",121.950.889.885.564,FALSE
GJB2,536.417.076.228.845,311.697.245.286.504,376.523.960.427.276,827.828.446.648.635,"1,25E-02","5,67E+01",FALSE
ACE2,296.887.661.213.134,311.349.709.218.365,844.549.307.779.008,368.657.822.995.736,22.728.959.323.265,144.803.131.889.658,FALSE
MYL1,312.219.879.691.265,310.629.414.002.658,750.898.695.672.496,413.676.859.199.312,"3,52E+09",378.512.857.780.091,FALSE
GATA6-AS1,150.142.138.804.199,309.605.418.324.602,457.411.921.509.607,676.863.465.435.715,"1,30E+03","2,36E+06",FALSE
TCF21,29.381.056.212.049,30.796.720.906.735,772.985.932.953.589,398.412.436.679.933,"6,77E+09",611.957.008.452.452,FALSE
PCDHB5,849.388.800.663.446,306.897.066.925.599,907.873.407.850.626,338.039.493.470.981,723.817.423.055.689,321.399.711.983.236,FALSE
SMYD1,65.282.594.977.951,304.786.992.814.251,896.980.029.097.767,339.792.395.512.777,678.992.911.573.218,308.537.724.320.841,FALSE
FDCSP,140.955.139.030.475,301.554.854.864.506,784.820.044.192.968,384.234.395.000.188,121.864.895.458.018,933.834.753.760.785,FALSE
PKHD1L1,104.802.207.941.911,300.839.304.010.611,746.077.172.694.127,403.228.131.111.777,"5,52E+09",522.488.274.311.639,FALSE
WT1,178.695.929.083.676,296.977.240.432.642,825.464.637.731.286,359.769.791.288.525,321.046.187.444.634,188.081.284.199.419,FALSE
C3,206.512.498.986.137,294.371.331.643.304,644.179.524.308.289,456.970.953.802.663,"4,88E+08",84.531.150.017.631,FALSE
HHIP,709.789.954.622.379,293.094.253.319.051,747.678.263.327.565,392.005.850.236.472,"8,85E+09",740.897.460.391.533,FALSE
TM4SF1,433.832.293.770.725,290.745.424.317.595,420.689.581.760.388,691.116.293.160.771,"4,81E+02","9,70E+05",FALSE
UPK1B,18.593.540.239.717,290.437.417.750.036,564.743.530.021.901,514.281.974.578.394,"2,71E+07","8,06E+09",FALSE
TCN1,258.002.932.095.783,289.979.841.834.679,807.434.073.834.671,35.913.748.407.657,3.289.381.361.414,19.146.940.674.564,FALSE
VIL1,745.463.657.231.805,289.668.801.823.089,84.884.689.120.633,341.249.764.620.601,643.704.828.611.085,298.985.253.002.709,FALSE
ACSL5,125.257.100.569.363,275.638.238.732.471,859.969.522.178.374,320.520.938.967.995,134.964.258.823.906,484.404.328.952.758,FALSE
CLDN7,439.778.642.485.843,273.454.316.484.513,707.585.626.680.667,386.461.095.552.924,111.266.402.813.313,86.355.091.516.777,FALSE
AGTR2,89.085.124.174.649,271.685.528.474.431,796.985.111.810.754,340.891.598.159.419,652.215.635.820.338,300.671.767.622.721,FALSE
ACTC1,17.052.953.210.098,269.657.871.178.428,644.247.467.593.562,418.562.562.900.981,"2,84E+09",32.687.699.743.897,FALSE
SULT1A3,636.221.476.317.033,268.567.596.013.941,787.788.163.523.498,34.091.346.944.429,651.692.941.538.393,300.671.767.622.721,FALSE
CPED1,735.360.826.848.729,268.287.838.300.374,631.909.626.243.705,42.456.678.480.303,"2,18E+09",272.970.208.227.213,FALSE
RARRES1,791.638.112.400.876,263.414.689.158.963,437.327.203.101.208,602.328.616.402.128,"1,71E+05","1,41E+08",FALSE
