Run,Experiment ID,Organism,Biomaterial,Genotype,Genotype Variation,Disease,Platform,Layout,Sex
SRR8314922,SRX5127901,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314923,SRX5127902,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314924,SRX5127903,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314925,SRX5127904,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314926,SRX5127905,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314927,SRX5127906,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314929,SRX5127908,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314930,SRX5127909,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314932,SRX5127911,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314933,SRX5127912,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314934,SRX5127913,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314935,SRX5127914,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314936,SRX5127915,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314937,SRX5127916,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314938,SRX5127917,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314939,SRX5127918,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314940,SRX5127919,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314941,SRX5127920,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314942,SRX5127921,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314952,SRX5127931,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314953,SRX5127932,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314954,SRX5127933,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314955,SRX5127934,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314956,SRX5127935,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314957,SRX5127936,Homo sapiens,NPC (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314958,SRX5127937,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314959,SRX5127938,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314960,SRX5127939,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314961,SRX5127940,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314962,SRX5127941,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314963,SRX5127942,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314964,SRX5127943,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314965,SRX5127944,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314966,SRX5127945,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314967,SRX5127946,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314968,SRX5127947,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314969,SRX5127948,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314970,SRX5127949,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314971,SRX5127950,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314972,SRX5127951,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314973,SRX5127952,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314980,SRX5127959,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314981,SRX5127960,Homo sapiens,NPC (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314982,SRX5127961,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314983,SRX5127962,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314984,SRX5127963,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314985,SRX5127964,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314986,SRX5127965,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314987,SRX5127966,Homo sapiens,Cortical Neurons (iPSC derived),WT,Wild type,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314988,SRX5127967,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314989,SRX5127968,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314990,SRX5127969,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
SRR8314991,SRX5127970,Homo sapiens,Cortical Neurons (iPSC derived),RTT,MECP2 exons 3-4 deletion,RTT,Illumina HiSeq 2500,Paired,Unknown
