Run,Experiment ID,Organism,Cellular Fraction,Genotype,Genotype Variation,Disease,Age,Treatment,Platform,Layout
SRR6936452,SRX3881197,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,Conditional KO,Illumina HiSeq 4000,Paired
SRR6936453,SRX3881198,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936456,SRX3881201,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936458,SRX3881203,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936460,SRX3881205,Mus Musculus,Brain - Cerebellum (CB),CB_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936462,SRX3881207,Mus Musculus,Brain - Cerebellum (CB),CB_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936463,SRX3881208,Mus Musculus,Brain - Cerebellum (CB),CB_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936465,SRX3881210,Mus Musculus,Brain - Cerebellum (CB),CB_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936467,SRX3881212,Mus Musculus,Brain - Cerebellum (CB),CB_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936454,SRX3881199,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936455,SRX3881200,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936457,SRX3881202,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936459,SRX3881204,Mus Musculus,Brain - Cerebral cortex (CTX),CTX_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936461,SRX3881206,Mus Musculus,Brain - Cerebellum (CB),CB_WT,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936464,SRX3881209,Mus Musculus,Brain - Cerebellum (CB),CB_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
SRR6936466,SRX3881211,Mus Musculus,Brain - Cerebellum (CB),CB_MECP2_KO,MeCP2 flox/flox mice (B6; 129P2-Mecp2tm1Bird/J\, Jackson Laboratories) crossed with B6.Cg-Tg(UBC::cre/ERT2)1Ejb/1J\, Jackson Laboratories),RTT,22 weeks,None,Illumina HiSeq 4000,Paired
