"Run","Experiment ID","Organism","Genotype","Cellular Fraction","Biomaterial","Sex","Strain","Disease","Platform","Layout"
"SRR8714114","SRX5508386","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714115","SRX5508387","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714116","SRX5508388","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714117","SRX5508389","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714118","SRX5508390","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714119","SRX5508391","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714120","SRX5508392","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714121","SRX5508393","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714122","SRX5508394","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714123","SRX5508395","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714124","SRX5508396","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714125","SRX5508397","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714126","SRX5508398","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714127","SRX5508399","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714128","SRX5508400","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714129","SRX5508401","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714130","SRX5508402","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714131","SRX5508403","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714132","SRX5508404","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714133","SRX5508405","Mus Musculus","MeCP2_KO","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714174","SRX5508446","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714175","SRX5508447","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714176","SRX5508448","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714177","SRX5508449","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714178","SRX5508450","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714179","SRX5508451","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714180","SRX5508452","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714181","SRX5508453","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714182","SRX5508454","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714183","SRX5508455","Mus Musculus","WT","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714184","SRX5508456","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714185","SRX5508457","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714186","SRX5508458","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714187","SRX5508459","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714188","SRX5508460","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714189","SRX5508461","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714190","SRX5508462","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714191","SRX5508463","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714192","SRX5508464","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
"SRR8714193","SRX5508465","Mus Musculus","MeCP2_R306C","Whole Cell","Forebrain Tissue","Male","C57BL/6","RTT","NextSeq 500","Single"
