Run,Experiment ID,Organism,Biomaterial,Genotype,Genotype Variation,Strain,Disease,Age,Platform,Layout
SRR8859012,SRX5646517,Mus Musculus,Cerebellum,WT,Not Available,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859013,SRX5646518,Mus Musculus,Cerebellum,WT,Not Available,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859014,SRX5646519,Mus Musculus,Cerebellum,WT,Not Available,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859015,SRX5646520,Mus Musculus,Cerebellum,Mecp2-null,Mecp2tm1.1Bird,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859016,SRX5646521,Mus Musculus,Cerebellum,Mecp2-null,Mecp2tm1.1Bird,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859017,SRX5646522,Mus Musculus,Cerebellum,Mecp2-null,Mecp2tm1.1Bird,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859018,SRX5646523,Mus Musculus,Blood,WT,Not Available,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859019,SRX5646524,Mus Musculus,Blood,WT,Not Available,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859020,SRX5646525,Mus Musculus,Blood,WT,Not Available,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859021,SRX5646526,Mus Musculus,Blood,Mecp2-null,Mecp2tm1.1Bird,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859022,SRX5646527,Mus Musculus,Blood,Mecp2-null,Mecp2tm1.1Bird,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
SRR8859023,SRX5646528,Mus Musculus,Blood,Mecp2-null,Mecp2tm1.1Bird,C57BL/6J,RTT,7 weeks,Illumina HiSeq 2000,Paired
