"Run","Experiment ID","Organism","Biomaterial","Genotype","Strain","Disease","Sex","Age","Platform","Layout"
"SRR10356970","SRX7066372","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356971","SRX7066373","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356972","SRX7066374","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356973","SRX7066375","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356974","SRX7066376","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356975","SRX7066377","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356976","SRX7066378","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356977","SRX7066379","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356978","SRX7066380","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356979","SRX7066381","Mus Musculus","Forebrain Tissue","WT","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356980","SRX7066382","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356981","SRX7066383","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356982","SRX7066384","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356983","SRX7066385","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356984","SRX7066386","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356985","SRX7066387","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356986","SRX7066388","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356987","SRX7066389","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356988","SRX7066390","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
"SRR10356989","SRX7066391","Mus Musculus","Forebrain Tissue","R306C","C57BL/6","RTT","Male","1 week","NextSeq 500","Single"
